x,y
628773.3784705824,5036206.196864845
628734.8858574959,5036304.964579292
628729.0816510757,5036357.848567715
628722.2378158015,5036413.950817944
628740.6147906078,5036488.508791374
628690.580429056,5036544.398206594
628530.8751902097,5036564.103722043
628288.2527328986,5036555.451377707
628018.5537486587,5036520.605677929
627771.1622058896,5036482.503697615
627564.3202260208,5036448.865207145
627441.4246440104,5036446.774399808
627406.8672113083,5036467.684545514
627358.8178495953,5036487.398252223
627271.0333405668,5036513.039712876
627195.5608679652,5036511.976489662
627116.9057743379,5036505.651423318
627052.9182592265,5036478.18394185
626984.2333635988,5036474.701353485
626943.5675578873,5036498.521790484
626931.3263878218,5036524.455140027
626910.6446638361,5036619.943561729
626912.0969390722,5036763.730162505
626923.913070776,5036920.547631906
626894.6200718419,5037128.488706809
626870.4112232426,5037338.741780043
626831.7367272432,5037616.97609674
626842.9012926701,5037891.118404739
626838.0115246859,5038137.03637815
626846.9188657203,5038376.074111234
626834.8403037499,5038618.101511931
626803.200381582,5038868.7513414
626719.7243858259,5039151.934748923
626639.8461007318,5039465.798413394
626540.4066783781,5039860.964605639
626422.3987906619,5040266.993480881
626176.4142728101,5040620.79650079
625861.8560170493,5040854.122032406
625471.2176770775,5040937.21588746
625094.4520173247,5040857.330732467
624747.3666284746,5040654.248412628
624508.2357075304,5040397.797450745
624313.4294696355,5040140.621686589
624223.0792015588,5039933.134819409
624208.5000490148,5039718.114682526
624285.8670891755,5039459.478702403
624386.3094651613,5039124.500949172
624513.9347574168,5038761.053818619
624635.0582139634,5038405.754478905
624708.1012081706,5038084.509020446
624697.0379204571,5037857.193999279
624669.2744302794,5037711.740199203
624622.5017887866,5037621.071174342
624567.5821960839,5037553.664385403
624472.0009620836,5037487.982040098
624376.705580893,5037431.901701348
624268.9154313058,5037345.475288844
624177.0678303742,5037247.684374518
624073.3823109106,5037138.083857622
623963.4501204584,5036976.962860404
623854.1343976856,5036804.86355412
623727.3104062297,5036644.44811227
623611.1794570554,5036493.138039175
623457.8092792223,5036368.097618668
623273.6674960708,5036318.871438052
623133.0772630293,5036314.515977977
622922.0501567236,5036347.961121182
622634.1963732669,5036426.714231698
622345.0021458238,5036527.651955165
622023.6544510757,5036651.970218834
621749.1908725624,5036754.171183227
621492.4985329575,5036843.934352187
621337.5843149354,5036917.535458
621293.3232553005,5036939.259823392
621268.1720889057,5036965.9112796
621248.5198910509,5037016.661781466
621268.462035279,5037031.756835556
621276.9325534271,5037158.477302091
621263.5388449966,5037383.123361867
621256.6979091153,5037683.162342533
621236.7320341883,5038038.690907156
621176.4423162177,5038414.313320579
621079.7220212845,5038751.771299206
620967.3803078183,5038977.851788535
620800.6008978697,5039085.921544028
620616.2169215472,5039192.3949234
620409.7023927827,5039270.189003735
620161.126361694,5039298.362133974
619898.9959331007,5039299.904320294
619646.8730017932,5039302.360056752
619423.3487491887,5039300.116308959
619272.6864029096,5039326.910196046
619166.0199622047,5039362.04375007
619103.349427075,5039405.51697104
619096.6094653776,5039424.217041044
