x,y,marker
644600.39841,5078580,0
644689.96441,5078450.72766,0
644479.79469,5077920.20531,0
644421.50992,5077924.93934,0
644419.96441,5077680.72766,0
644350.293,5077601.64073,0
644320.88785,5077406.90983,0
644419.79469,5077369.79469,0
644439.96441,5077120.72766,0
644200.15573,5076550.87208,0
644269.96441,5076459.27234,0
644210,5076360.88588,0
644290,5076231.17992,0
644100.15573,5075350.87208,0
644139.96441,5075290.72766,0
644061.19754,5075294.4323,0
643891.50992,5074904.93934,0
643920,5074791.17992,0
643869.79469,5074600.20531,0
643769.79469,5074510.20531,0
643573.58226,5074447.51421,0
643449.79469,5074140.20531,0
643173.03654,5073936.96346,0
642833.03654,5073576.96346,0
642760.15573,5073420.87208,0
642800,5073281.17992,0
642730.88367,5073182.54828,0
642759.79469,5073140.20531,0
642722.69539,5073146.29734,0
642679.79469,5073040.20531,0
642601.19754,5073064.4323,0
642599.79469,5072990.20531,0
642510.88785,5072883.09017,0
642519.79469,5072790.20531,0
642399.79469,5072640.20531,0
641963.58226,5072387.51421,0
641789.79469,5072230.20531,0
641625.96159,5072239.02419,0
641561.50992,5072134.93934,0
641599.79469,5072010.20531,0
641381.50992,5071714.93934,0
641369.79469,5071580.20531,0
641281.50992,5071464.93934,0
641279.96441,5071320.72766,0
641200.293,5071161.64073,0
641219.79469,5071080.20531,0
641090.88367,5070852.54828,0
641079.79469,5070730.20531,0
641023.79333,5070717.61287,0
640981.50992,5070624.93934,0
640999.79469,5070550.20531,0
640850.293,5070241.64073,0
640780.39841,5069950,0
640799.79469,5069830.20531,0
640759.79469,5069740.20531,0
640649.27234,5069670.03559,0
640563.19237,5069676.71142,0
640490.293,5069451.64073,0
640540,5069368.82008,0
640500.88785,5069343.09017,0
640519.96441,5069230.72766,0
640470.39841,5069080,0
640539.96441,5068939.27234,0
640519.79469,5068690.20531,0
640351.50992,5068544.93934,0
640269.79469,5068380.20531,0
639955.96159,5068359.02419,0
639739.79469,5068080.20531,0
639631.19754,5068044.4323,0
639635.99691,5067626.29615,0
639678.72658,5067606.31015,0
639750.20531,5067679.79469,0
639849.79469,5067699.79469,0
639939.79469,5067619.79469,0
640000,5067458.82008,0
639691.50992,5066804.93934,0
639669.79469,5066650.20531,0
639521.19754,5066534.4323,0
639329.79469,5066180.20531,0
639171.50992,5066114.93934,0
639019.79469,5065770.20531,0
638835.96159,5065729.02419,0
638621.19754,5065584.4323,0
638570.39841,5065430,0
638600,5064871.17992,0
638569.79469,5064790.20531,0
638421.50992,5064654.93934,0
638399.79469,5064550.20531,0
638071.71866,5064275.40038,0
637641.50992,5063614.93934,0
637579.96441,5063320.72766,0
637429.79469,5062960.20531,0
637291.50992,5062784.93934,0
637049.79469,5062220.20531,0
636691.50992,5061704.93934,0
636589.79469,5061410.20531,0
636431.50992,5061224.93934,0
636319.79469,5060890.20531,0
636231.50992,5060824.93934,0
636139.79469,5060520.20531,0
635779.79469,5059990.20531,0
635581.19754,5059814.4323,0
635349.79469,5059270.20531,0
634631.50992,5058084.93934,0
634409.79469,5057550.20531,0
634281.50992,5057374.93934,0
634059.79469,5056670.20531,0
633879.79469,5056440.20531,0
633701.50992,5056334.93934,0
633519.79469,5055960.20531,0
633121.50992,5055614.93934,0
